주소,지점,위도,경도
경기 성남시 수정구 창업로 18 (시흥동) 파미어스몰 B1층~3층,경기/인천_판교(창조경제밸리),127.0983341,37.4134038
경기 안양시 동안구 시민대로 180 (호계동),경기/인천_평촌(범계역),126.9504445,37.3900085
"경기 평택시 경기대로 279(비전동, 뉴코아아울렛 10층)",경기/인천_평택비전(뉴코아),127.1125064,36.9956506
"경기 하남시 미사대로 520 (덕풍동, 현대지식산업센터 2차 C,D동) 지하1층, 지하2층 롯데시네마",경기/인천_하남미사,127.2045806,37.5588656
경기 화성시 향남읍 상신하길로298번길 7-21,경기/인천_향남,126.9124754,37.1151722
충남 당진시 시청2로 49-19 (수청동) 시네마타워 7~9층(매표/매점7층),충청/대전_당진,126.6466831,36.8871115
대전 서구 계룡로 598 (괴정동),충청/대전_대전(백화점),127.3895541,36.3406299
대전광역시 서구 봉우로8번길 23 관저동,충청/대전_대전관저,127.3337141,36.3025424
대전 서구 대덕대로 325 (월평동),충청/대전_대전둔산(월평동),127.3789228,36.3619079
대전광역시 서구 대덕대로 216 (둔산동),충청/대전_대전센트럴,127.3795064,36.3519515
충청남도 서산시 율지18로 38,충청/대전_서산,126.4656109,36.7787708
충북 청주시 흥덕구 2 순환로 1004 롯데아울렛 4층,충청/대전_서청주(아울렛),127.4215795,36.6450545
충남 아산시 번영로 225 (모종동),충청/대전_아산터미널,127.0159009,36.7846407
충남 천안시 서북구 불당21로 67-8 (불당동) 7층 (정석프라자 4차),충청/대전_천안불당,127.1082812,36.8132654
충남 천안시 동남구 청수11로 35 (청당동) 힐스에비뉴 청당CA타워 7층,충청/대전_천안청당,127.1560778,36.7830488
충청북도 청주시 상당구 1순환로 1233 1-4층 (용암동),충청/대전_청주용암,127.5030833,36.6070385
"충북 충주시 달천동 786-3 3,4층",충청/대전_충주(모다아울렛),127.8982096,36.9617535
광주 동구 독립로 268 (대인동),전라/광주_광주(백화점),126.9121946,35.1545422
광주 광산구 무진대로 272-8 (우산동) 에이607호,전라/광주_광주광산,126.8096635,35.1601632
전북 군산시 백토로 198 (나운동),전라/광주_군산나운,126.7048440,35.9616370
전북 군산시 조촌로 130 (조촌동),전라/광주_군산몰,126.7391410,35.9764131
경상북도 경주시 계림로 83(노동동),경북/대구_경주,129.2132279,35.8416091
경북 경주시 유림로5번길 85-46,경북/대구_경주황성,129.2181199,35.8807891
경북 구미시 산호대로 233 (공단동),경북/대구_구미공단,128.3849671,36.1042306
대구 동구 안심로 80 (율하동),경북/대구_대구율하,128.6933332,35.8683955
대구 달성군 현풍읍 테크노상업로 62,경북/대구_대구현풍,128.4563079,35.6931947
대구 중구 동성로2길 95 (동성로2가),경북/대구_동성로,128.5968649,35.8701805
대구 달서구 월곡로 247 (상인동),경북/대구_상인,128.5392662,35.8164366
경상북도 상주시 중앙로 147 2층,경북/대구_상주,128.1544055,36.4160714
대구 달서구 성서로 414 (이곡동),경북/대구_성서,128.5077714,35.8544435
경북 영주시 영주동 497번지,경북/대구_영주,128.6177208,36.8272303
경북 영천시 시장로 96 (완산동) 2층,경북/대구_영천,128.9407435,35.9630109
"경상북도 포항시 북구 중앙상가길 16 3층~8층(대흥동 / 매표,매점 3층)",경북/대구_포항,129.3629222,36.0366132
"대구 중구 국채보상로 547 (종로1가 / 매표,매점 4층)",경북/대구_프리미엄만경,128.5903684,35.8709283
"경북 안동시 경북대로 418, A동 401, 501호 (옥동, 테마프라자 매표/매점 5층)",경북/대구_프리미엄안동,128.6997397,36.5663544
대구 북구 학정로 422 (구암동) 5층,경북/대구_프리미엄칠곡,128.5638582,35.9421816
경남 거창군 거창읍 중앙로1길 1,경남/부산/울산_거창,127.9131227,35.6874702
부산 중구 중앙대로 2 (중앙동7가),경남/부산/울산_광복,129.0367023,35.0983052
경남 김해시 김해대로 2350 (부원동),경남/부산/울산_김해부원,128.8838997,35.2264662
경남 김해시 장유로 469 롯데아울렛 D동 4층,경남/부산/울산_김해아울렛(장유),128.8295963,35.1850621
부산 중구 비프광장로 37 (남포동5가),경남/부산/울산_대영,129.0294639,35.0986200
부산 동래구 중앙대로 1393 (온천동),경남/부산/울산_동래,129.0774798,35.2117080
부산 기장군 기장읍 기장해안로 147 3층,경남/부산/울산_동부산아울렛,129.2127177,35.1921607
부산 강서구 명지국제6로 107 (명지동) 2층 (대방디엠시티2차),경남/부산/울산_부산명지,128.9108217,35.0927669
부산 부산진구 가야대로 772 (부전동),경남/부산/울산_부산본점,129.0554875,35.1568154
경남 사천시 사천읍 항공로 6,경남/부산/울산_사천,128.0823430,35.0810541
부산 부산진구 동천로 92 (전포동),경남/부산/울산_서면(전포동),129.0631356,35.1570630
부산 해운대구 센텀남대로 59 (우동),경남/부산/울산_센텀시티,129.1310696,35.1698533
경남 양산시 물금읍 백호로 68,경남/부산/울산_양산물금,129.0018933,35.3180074
경남 진주시 가호로 13 (가좌동),경남/부산/울산_엠비씨네(진주),128.1074420,35.1637988
부산 금정구 중앙대로 1607 (부곡동),경남/부산/울산_오투(부산대),129.0898020,35.2283166
울산 남구 삼산로 282 (삼산동),경남/부산/울산_울산(백화점),129.3380942,35.5386020
울산 중구 젊음의2거리 33 (성남동),경남/부산/울산_울산성남,129.3205517,35.5531336
경남 진주시 동진로 440 (충무공동),경남/부산/울산_진주혁신(롯데몰),128.1398701,35.1801082
경남 창원시 진해구 진해대로 752 (석동),경남/부산/울산_진해,128.6974237,35.1588178
경남 창원시 성산구 중앙대로 124 (상남동),경남/부산/울산_창원,128.6818926,35.2245629
"경남 통영시 무전동,986번지",경남/부산/울산_통영,128.4302917,34.8591694
"부산 해운대구 좌동,1479-1번지 7",경남/부산/울산_프리미엄해운대(장산역),129.1766672,35.1691562
강원특별자치도 원주시 서원대로 396 (단구동),강원_남원주,127.9488807,37.3307458
강원특별자치도 동해시 한섬로 111-7 (천곡동),강원_동해,129.1152178,37.5222543
강원특별자치도 원주시 능라동길 51 (무실동),강원_원주무실,127.9301516,37.3348376
강원특별자치도 춘천시 중앙로67번길 18 (죽림동),강원_춘천,127.7277590,37.8777017
제주특별자치도 서귀포시 월드컵로 31 (법환동),제주_서귀포,126.5074318,33.2469483
제주특별자치도 제주시 삼봉로 11 (삼양이동),제주_제주삼화지구,126.5881552,33.5204899
제주특별자치도 제주시 구산로 4 메가타워 (아라일동),제주_제주아라,126.5359155,33.4837731
제주특별자치도 제주시 과원로 128 (연동) B1F,제주_제주연동,126.4946501,33.4806950
광주 광산구 장신로 98 (장덕동),전라/광주_수완(아울렛),126.8192876,35.1894384
전북 익산시 모현동1가 876번지 (선화로 77),전라/광주_익산모현,126.9397116,35.9498924
전북 전주시 완산구 온고을로 2 (서신동),전라/광주_전주(백화점),127.1218933,35.8345049
전북 전주시 덕진구 송천중앙로225 (파인트리몰 6층),전라/광주_전주송천,127.1209296,35.8670085
전북 전주시 완산구 백제대로 10 (평화동1가),전라/광주_전주평화,127.1327847,35.7965146
광주광역시 동구 충장로안길 12,전라/광주_충장로,126.9145224,35.1480550
