주소,위도,경도,지점
경기도 용인시 기흥구 중동 833번지 쥬네브썬월드빌딩경기도 용인시 기흥구 동백죽전대로 444  (중동),127.1517093,37.2780425,CGV동백
"경기도 수원시 팔달구 인계동 1113-11,12 씨네파크 7층경기도 수원시 팔달구 권광로 181, 7층 (인계동)",127.0322508,37.2639541,CGV동수원
"경기도 화성시 반송동 96 메타폴리스 A블럭 3층경기도 화성시 동탄중앙로 220, 3층(반송동)",127.0688778,37.2049482,CGV동탄
"경기도 화성시 송동 725-13경기도 화성시 동탄대로 5길9 (송동, 그랑파사쥬) 5층",127.1062492,37.1659895,CGV동탄그랑파사쥬
경기도 화성시 오산동 967-2416경기도 화성시 동탄대로 537 라스플로레스 A동 5층~8층,127.0982565,37.2028197,CGV동탄역
"경기도 화성시 송동 681-535, 레이크꼬모 B2층경기도 화성시 동탄대로 181, 레이크꼬모 B2층",127.1048656,37.1714123,CGV동탄호수공원
경기 시흥시 정왕동 1771-1 베니스스퀘어 7층경기도 시흥시 서울대학로 278번길 61 베니스스퀘어 7층,126.717824,37.366858,CGV배곧
"경기도 안양시 동안구 호계동 1039-3 뉴코아 아울렛 11층경기도 안양시 동안구 동안로 119, 11층(호계동)",126.951187,37.3891921,CGV범계
"부천시 중동 1164번지 현대백화점 중동점 U-PLEX 5층경기도 부천시 길주로 180, 5층(중동)",126.7621681,37.5042947,CGV부천
"경기도 부천시 심곡동 383-1 시네마존 6층경기도 부천시 부일로 460(심곡동, 시네마존 6층~11층)",126.7811492,37.4858724,CGV부천역
경기도 부천시 옥길동 745-5 문영퀸즈파크옥길 C동 8층경기도 부천시 옥길로 124 문영퀸즈파크옥길 C동 8층,126.8232194,37.4676275,CGV부천옥길
"경기도 수원시 장안구 조원동 893번지 북수원 패션 아울렛 4층경기도 수원시 장안구 경수대로 950, 4층(조원동)",127.0074437,37.3035264,CGV북수원
군포시 산본동 1142-2번지 대우디오플러스 4층경기도 군포시 번영로 505,126.9333876,37.3588953,CGV산본
경기도 성남시 분당구 서현동 256번지 비전월드빌딩 1F경기도 분당구 서현로 180번길 19 비전월드B/D 1층,127.1224371,37.3873781,CGV서현
경기도 성남시 중원구 성남동3499 뉴코아아울렛 9~10층경기도 성남시 중원구 성남대로1136 뉴코아아울렛 9~10층,127.1297654,37.4313971,CGV성남모란
"경기도 부천시 상동 539-1 뉴코아 7층경기도 부천시 송내대로 239, 7층(상동)",126.7566364,37.504155,CGV소풍
경기도 하남시 학암동 660번지 스타필드시티위례점 5층경기도 하남시 위례대로200 스타필드시티위례점 5층,127.1484006,37.4800573,CGV스타필드시티위례
경기도 시흥시 대야동 568-1경기도 시흥시 복지로 90  (대야동),126.791707,37.4469842,CGV시흥
경기도 용인시 수지구 죽전동 1285번지 신세계 백화점 9층경기도 용인시 수지구 포은대로 536 신세계백화점 9층,127.1081446,37.3250206,CGV신세계경기
"경기도 안산시 단원구 고잔동 725-1 NC백화점 A관 6층경기도 안산시 단원구 광덕대로 194  (고잔동, NC백화점 A관 6층)",126.8310476,37.3138911,CGV안산
경기도 안성시 석정동 139-1경기도 안성시 아양2로 109 (석정동),127.2571905,37.0121692,CGV안성
"경기도 성남시 분당구 야탑동 341번지 테마폴리스빌딩 지하2층경기도 성남시 분당구 성남대로925번길 16, 지하 2층(야탑동)",127.1273424,37.4131266,CGV야탑
경기도 양주시 옥정동 963-12 씨네마엠디프라자경기도 양주시 옥정로 200 씨네마엠디프라자 7층,127.0921605,37.8194198,CGV양주옥정
"경기도 부천시 괴안동 113-1 역곡 하이뷰 6층경기도 부천시 경인로 505, 6층(괴안동)",126.8109947,37.484456,CGV역곡
경기도 성남시 구미동 159번지 CGV SQUARE 건물 4층경기도 성남시 분당구 탄천상로 151번길 20  (구미동),127.1069719,37.34008,CGV오리
경기도 오산시 원동 763-21 오산시네마타운경기도 오산시 원동로37번길 46 오산시네마타운(원동),127.07039,37.1460598,CGV오산
경기도 오산시 원동 335-10 르마레시티 3층경기도 오산시 원동로22 르마레시티 3층,127.0709907,37.1419832,CGV오산중앙
"경기도 용인시 처인구 김량장동 301-3, 5층경기도 용인시 처인구 금령로 86, 5층",127.2059647,37.2350817,CGV용인
"경기도 의정부시 의정부동 168-54 의정부역사 신세계백화점10층경기도 의정부시 평화로 525, 10층(의정부동)",127.0462991,37.7375537,CGV의정부
"경기도 의정부시 의정부동 494 센트럴타워 15층경기도 의정부시 시민로 80, 15층(의정부동)",127.0436104,37.7380313,CGV의정부태흥
경기도 이천시 중리동 201-1 랜드마크ICC 4층경기도 이천시 중리천로 58 (중리동) 랜드마크ICC 4층,127.4440849,37.2797283,CGV이천
경기도 고양시 일산동구 장항동 867번지 웨스턴돔 3층경기도 고양시 일산동구 정발산로 24  (장항동),126.7719922,37.6558822,CGV일산
경기 시흥시 정왕동1734-1 성담스퀘어 10층경기 시흥시 정왕대로210 성담스퀘어 10층,126.7367015,37.3460564,CGV정왕
경기도 파주시 문산읍 방촌로 1719-10(3층)경기도 파주시 문산읍 당동리 892번지(3층),126.7841069,37.8666479,CGV파주문산
"경기도 파주시 야당동 1066, 6층경기도 파주시 경의로 1074, 6층",126.7599312,37.7131712,CGV파주야당
경기도 성남시 분당구 백현동 541 현대백화점 5층경기도 성남시 판교역로 146번길 20(백현동)현대백화점 5층,127.1120506,37.3927738,CGV판교
"경기도 안양시 동안구 관양동 1606번지 8층경기도 안양시 동안구 관평로170번길 33, 8층(관양동)",126.9622608,37.3929927,CGV평촌
"경기도 평택시 평택동 185-579 평택민자역사 8층경기도 평택시 평택로 51, 8층(평택동)",127.0859414,36.9909028,CGV평택
"경기도 평택시 장당동 154-2, 평택고덕아이파크 101동 3층경기도 평택시 경기대로 945,평택고덕아이파크 101동 3층",127.069143,37.0338375,CGV평택고덕
경기도 평택시 비전동 1090-2 로이드빌딩 5~7층경기도 평택시 평남로 862 (비전동)5~7층,127.1115024,37.0004724,CGV평택소사
경기도 포천시 소흘읍 송우리 110-3경기도 포천시 소흘읍 호국로 689,127.1499058,37.8296675,CGV포천
경기도 하남시 망월동 1100 그랑파샤쥬3층경기도 하남시 미사강변동로95 그랑파샤쥬3층,127.1917751,37.5637984,CGV하남미사
"경기도 화성시 봉담읍 동화리 564 2층 221호경기도 화성시 봉담읍 동화길 51, 2층 221호",126.9555162,37.2190664,CGV화성봉담
"경기도 고양시 덕양구 화정동 966-1 씨네마플러스 3층경기도 고양시 덕양구 화중로104번길 28, 3층(화정동)",126.8331873,37.6358316,CGV화정
경기 용인시 처인구 역북동 89-18경기 용인시 처인구 성산로170번길 23-1 칼리오페,127.1919211,37.2483779,DRIVE IN 용인크랙사이드
"인천광역시 계양구 작전동 899-1 메트로몰 8층인천광역시 계양구 장제로 738, 8층(작전동)",126.7345163,37.5338765,CGV계양
인천광역시 미추홀구 주안동 141-8인천광역시 미추홀구 미추홀대로 736(주안동 9층 18호),126.6807547,37.4634943,CGV남주안
인천 광역시 부평구 청천동 386번지 아이즈빌아울렛 2층인천광역시 부평구 마장로 489(청천동),126.7034829,37.5218638,CGV부평
인천광역시 연수구 송도동 8-21 A동 지하1층인천광역시 연수구 하모니로 158 A동 지하1층,126.6419245,37.3840928,CGV송도타임스페이스
"인천광역시 연수구 청학동 496-4 8층인천광역시 연수구 벚꽃로 106 8층 (청학동, 연수광장프라자)",126.6771108,37.4177491,CGV연수역
"인천광역시 남동구 구월동 1130번지 SEE&SEE빌딩 4층인천광역시 남동구 예술로 198, 4층(구월동)",126.7018707,37.4519427,CGV인천
인천광역시 서구 가정동 577-2 상가동 B1~B2인천광역시 서구 가정로 406(루원지웰시티푸르지오) 상가동 B1~B2,126.6748207,37.5217021,CGV인천가정(루원시티)
"인천시 남동구 논현동 646-2, 4층 CGV인천논현인천시 남동구 논현로 26번길 34, 4층 CGV인천논현",126.7086185,37.4022533,CGV인천논현
"인천광역시 미추홀구 도화동 1011인천광역시 미추홀구 숙골로88번길 12, 지하1층",126.6651582,37.4700598,CGV인천도화
"인천광역시 미추홀구 주안동 466-23, 지하2층 CGV인천광역시 미추홀구 경인로 372, 지하2층 CGV",126.6802821,37.4582536,CGV인천시민공원
"인천광역시 연수구 동춘동 926번지 스퀘어원 4층인천광역시 연수구 청능대로 210, 4층(동춘동)",126.6837019,37.4059842,CGV인천연수
인천광역시 미추홀구 학익동 401-21인천광역시 미추홀구 매소홀로 255 (5층~8층),126.6518047,37.4456252,CGV인천학익
"인천광역시 미추홀구 주안동 30-1 카라아울렛 6~10층인천광역시 미추홀구 염창로 58, 6층(주안동)",126.6803981,37.4655588,CGV주안역
인천광역시 서구 청라동 155-7 스퀘어세븐 3층~4층인천광역시 서구 청라루비로 76 스퀘어세븐 3층~4층,126.6416614,37.532296,CGV청라
"강원특별자치도 강릉시 옥천동 189 씨네몰 6~8층 CGV강릉강원특별자치도 강릉시 경강로 2120, 6층~8층(옥천동) CGV강릉",128.8986932,37.7556737,CGV강릉
"강원특별자치도 원주시 단계동 877-1 W-city(원주 시외버스 터미널) 7층 CGV원주강원특별자치도 원주시 서원대로 171, 7층(단계동) CGV원주",127.9309608,37.3448535,CGV원주
"강원특별자치도 인제군 북면 원통리 459-4 2층 CGV원통강원특별자치도 인제군 북면 금강로 11번길 19, 2층 CGV원통",128.2066913,38.1201532,CGV원통
